,Order ID,Order Date,Segment,State,Region,Category,Sales,Ano,Day of Week,Month
0,CA-2017-152156,2017-08-11,Consumer,Kentucky,South,Furniture,261.96,2017,4,8
1,CA-2017-152156,2017-08-11,Consumer,Kentucky,South,Furniture,731.94,2017,4,8
2,CA-2017-138688,2017-12-06,Corporate,California,West,Office Supplies,14.62,2017,2,12
3,US-2016-108966,2016-11-10,Consumer,Florida,South,Furniture,957.5775,2016,3,11
4,US-2016-108966,2016-11-10,Consumer,Florida,South,Office Supplies,22.368,2016,3,11
5,CA-2015-115812,2015-09-06,Consumer,California,West,Furniture,48.86,2015,6,9
6,CA-2015-115812,2015-09-06,Consumer,California,West,Office Supplies,7.28,2015,6,9
7,CA-2015-115812,2015-09-06,Consumer,California,West,Technology,907.152,2015,6,9
8,CA-2015-115812,2015-09-06,Consumer,California,West,Office Supplies,18.504,2015,6,9
9,CA-2015-115812,2015-09-06,Consumer,California,West,Office Supplies,114.9,2015,6,9
10,CA-2015-115812,2015-09-06,Consumer,California,West,Furniture,1706.184,2015,6,9
11,CA-2015-115812,2015-09-06,Consumer,California,West,Technology,911.424,2015,6,9
12,CA-2018-114412,2018-04-15,Consumer,North Carolina,South,Office Supplies,15.552,2018,6,4
13,CA-2017-161389,2017-05-12,Consumer,Washington,West,Office Supplies,407.976,2017,4,5
14,US-2016-118983,2016-11-22,Home Office,Texas,Central,Office Supplies,68.81,2016,1,11
15,US-2016-118983,2016-11-22,Home Office,Texas,Central,Office Supplies,2.544,2016,1,11
16,CA-2015-105893,2015-11-11,Consumer,Wisconsin,Central,Office Supplies,665.88,2015,2,11
17,CA-2015-167164,2015-05-13,Consumer,Utah,West,Office Supplies,55.5,2015,2,5
18,CA-2015-143336,2015-08-27,Consumer,California,West,Office Supplies,8.56,2015,3,8
19,CA-2015-143336,2015-08-27,Consumer,California,West,Technology,213.48,2015,3,8
20,CA-2015-143336,2015-08-27,Consumer,California,West,Office Supplies,22.72,2015,3,8
21,CA-2017-137330,2017-09-12,Corporate,Nebraska,Central,Office Supplies,19.46,2017,1,9
22,CA-2017-137330,2017-09-12,Corporate,Nebraska,Central,Office Supplies,60.34,2017,1,9
23,US-2018-156909,2018-07-16,Consumer,Pennsylvania,East,Furniture,71.372,2018,0,7
24,CA-2016-106320,2016-09-25,Consumer,Utah,West,Furniture,1044.63,2016,6,9
25,CA-2017-121755,2017-01-16,Consumer,California,West,Office Supplies,11.648,2017,0,1
26,CA-2017-121755,2017-01-16,Consumer,California,West,Technology,90.57,2017,0,1
27,US-2016-150630,2016-09-17,Consumer,Pennsylvania,East,Furniture,3083.43,2016,5,9
28,US-2016-150630,2016-09-17,Consumer,Pennsylvania,East,Office Supplies,9.618,2016,5,9
29,US-2016-150630,2016-09-17,Consumer,Pennsylvania,East,Furniture,124.2,2016,5,9
30,US-2016-150630,2016-09-17,Consumer,Pennsylvania,East,Office Supplies,3.264,2016,5,9
31,US-2016-150630,2016-09-17,Consumer,Pennsylvania,East,Office Supplies,86.304,2016,5,9
32,US-2016-150630,2016-09-17,Consumer,Pennsylvania,East,Office Supplies,6.858,2016,5,9
33,US-2016-150630,2016-09-17,Consumer,Pennsylvania,East,Office Supplies,15.76,2016,5,9
34,CA-2018-107727,2018-10-19,Home Office,Texas,Central,Office Supplies,29.472,2018,4,10
35,CA-2017-117590,2017-08-12,Corporate,Texas,Central,Technology,1097.544,2017,5,8
36,CA-2017-117590,2017-08-12,Corporate,Texas,Central,Furniture,190.92,2017,5,8
37,CA-2016-117415,2016-12-27,Home Office,Texas,Central,Office Supplies,113.328,2016,1,12
38,CA-2016-117415,2016-12-27,Home Office,Texas,Central,Furniture,532.3992,2016,1,12
39,CA-2016-117415,2016-12-27,Home Office,Texas,Central,Furniture,212.058,2016,1,12
40,CA-2016-117415,2016-12-27,Home Office,Texas,Central,Technology,371.168,2016,1,12
41,CA-2018-120999,2018-10-09,Corporate,Illinois,Central,Technology,147.168,2018,1,10
42,CA-2017-101343,2017-07-17,Corporate,California,West,Office Supplies,77.88,2017,0,7
43,CA-2018-139619,2018-09-19,Corporate,Florida,South,Office Supplies,95.616,2018,2,9
